name,category,hs_code,price_usd,price_brl,moq,weight_kg,dimensions_cm,volume_m3,sku,brand,materials,warranty_months,description,image_url,main_image
Reformer Advanced MetaLife,Linha Advanced,9506.91.00,3500,19250,1,85,240x60x35,0.504,RF-ADV-001,MetaLife,"Steel frame, wood deck, premium vinyl upholstery",24,"Professional pilates reformer with advanced features and premium materials",https://metalifepilates.com.br/wp-content/uploads/2024/reformer-advanced.jpg,https://metalifepilates.com.br/wp-content/uploads/2024/reformer-advanced.jpg
Reformer Infinity MetaLife,Linha Infinity,9506.91.00,4200,23100,1,90,245x65x40,0.638,RF-INF-001,MetaLife,"Aluminum frame, wood deck, premium upholstery",24,"Top-of-the-line reformer with infinity design and superior quality",https://metalifepilates.com.br/wp-content/uploads/2023/11/reformer-infinity-preto-1536x1024.png,https://metalifepilates.com.br/wp-content/uploads/2023/11/reformer-infinity-preto-1536x1024.png
Reformer W23 MetaLife,Linha W23,9506.91.00,3200,17600,1,80,235x60x35,0.494,RF-W23-001,MetaLife,"Steel frame, wood deck, standard upholstery",24,"Mid-range professional reformer with excellent value",https://metalifepilates.com.br/wp-content/uploads/2023/11/reformer-w23.png,https://metalifepilates.com.br/wp-content/uploads/2023/11/reformer-w23.png
Reformer Original MetaLife,Linha Original,9506.91.00,2800,15400,1,75,230x58x33,0.440,RF-ORI-001,MetaLife,"Steel frame, MDF deck, standard vinyl",24,"Entry-level professional reformer ideal for studios",https://metalifepilates.com.br/wp-content/uploads/2023/11/reformer-original.png,https://metalifepilates.com.br/wp-content/uploads/2023/11/reformer-original.png
Cadillac Infinity MetaLife,Linha Infinity,9506.91.00,5200,28600,1,120,280x80x220,4.928,CAD-INF-001,MetaLife,"Steel structure, wood bars, premium upholstery",24,"Complete cadillac trapeze system with mat and all accessories",https://metalifepilates.com.br/wp-content/uploads/2023/11/cadillac-infinity.png,https://metalifepilates.com.br/wp-content/uploads/2023/11/cadillac-infinity.png
Cadillac W23 MetaLife,Linha W23,9506.91.00,4500,24750,1,110,275x75x215,4.436,CAD-W23-001,MetaLife,"Steel structure, wood bars, standard upholstery",24,"Professional cadillac system with excellent quality-price ratio",https://metalifepilates.com.br/wp-content/uploads/2023/11/cadillac-w23.png,https://metalifepilates.com.br/wp-content/uploads/2023/11/cadillac-w23.png
Chair Combo Infinity MetaLife,Linha Infinity,9506.91.00,1800,9900,1,35,80x50x120,0.480,CHR-INF-001,MetaLife,"Steel frame, wood seat, premium upholstery",24,"Versatile combo chair with split pedal and handles",https://metalifepilates.com.br/wp-content/uploads/2023/11/chair-combo.png,https://metalifepilates.com.br/wp-content/uploads/2023/11/chair-combo.png
Ladder Barrel Infinity MetaLife,Linha Infinity,9506.91.00,2200,12100,1,45,140x60x100,0.840,LB-INF-001,MetaLife,"Steel structure, wood barrel, premium upholstery",24,"Professional ladder barrel with adjustable rungs",https://metalifepilates.com.br/wp-content/uploads/2023/11/ladder-barrel.png,https://metalifepilates.com.br/wp-content/uploads/2023/11/ladder-barrel.png
Reformer Tower Advanced MetaLife,Linha Advanced,9506.91.00,4800,26400,1,95,245x65x220,3.507,RFT-ADV-001,MetaLife,"Steel frame, wood deck, tower attachment, premium upholstery",24,"Complete reformer with integrated tower for comprehensive training",https://metalifepilates.com.br/wp-content/uploads/2024/reformer-tower.jpg,https://metalifepilates.com.br/wp-content/uploads/2024/reformer-tower.jpg
Spin MetaLife Professional,Acessórios Premium,9506.91.00,1999,10995,2,15,45x45x25,0.051,SPIN-PRO-001,MetaLife,"High-grade steel, precision bearings",24,"Professional spin bike for pilates studios",https://metalifepilates.com.br/wp-content/uploads/2023/spin-metalife.jpg,https://metalifepilates.com.br/wp-content/uploads/2023/spin-metalife.jpg

